"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(9.0.0)","KHM.NGDP_D.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Price deflator, Index","Annual","Units","48.361","51.455","52.481","54.198","58.264","62.935","67.213","72.994","81.598","82.211","87.362","91.687","94.106","96.806","100.000","103.069","104.698","106.872","110.951","114.049","113.109","116.102","117.891","121.374","124.178"
"IMF.RES:WEO(9.0.0)","KHM.NGDP_FY.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Annual","Billions","14237.327","16267.593","17631.309","20080.793","23629.086","28918.818","34264.316","41080.517","49356.657","51753.676","57788.147","65068.396","71894.423","79768.285","88992.411","98334.482","107784.906","118907.473","134279.541","148984.697","142502.829","150792.683","160971.919","174027.143","188766.392"
"IMF.RES:WEO(9.0.0)","BRN.PPPPC.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","57249.714","57961.499","59888.464","62108.721","62776.198","63622.536","67148.680","65385.612","63191.630","61536.259","62883.862","65472.105","66400.771","65342.145","64129.222","63720.025","62001.508","62579.075","65329.381","68074.251","70673.187","80202.909","83619.503","86698.541","91436.731"
"IMF.RES:WEO(9.0.0)","KHM.GGXCNL_NGDP.A","OBS_VALUE","Cambodia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.763","-4.946","-6.073","-5.694","-3.231","-0.342","-0.150","0.620","0.428","-3.978","-3.090","-3.757","-3.567","-2.011","-1.245","-0.647","-0.292","-0.763","0.278","2.188","-2.528","-5.177","-0.294","-2.828","-2.674"
"IMF.RES:WEO(9.0.0)","BTN.TX_RPCH.A","OBS_VALUE","Bhutan","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","-7.774","-11.031","-2.979","1.644","34.421","31.007","35.333","67.032","12.172","-21.280","5.149","8.337","-9.563","-7.873","-11.329","-5.097","-10.425","0.294","8.646","4.503","0.714","-14.964","6.304","-6.107","16.148"
"IMF.RES:WEO(9.0.0)","KHM.GGXWDG.A","OBS_VALUE","Cambodia","Gross debt, General government, Domestic currency","Annual","Billions","4961.955","5451.117","6669.983","7988.548","9154.903","9158.493","9158.493","10297.963","11329.511","12256.170","13523.487","15482.884","17874.029","19461.331","21513.143","22876.084","23485.974","26921.749","28317.589","31041.504","35948.732","39118.534","41085.712","45730.010","48884.585"
"IMF.RES:WEO(9.0.0)","BRN.NGDPRPC.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","54218.375","53683.717","54619.657","55547.945","54674.775","53727.105","55008.421","52151.193","49448.700","47858.178","48318.984","49290.759","49076.142","47485.516","45806.245","45095.453","43466.211","43099.255","42114.400","42347.045","43718.906","43129.362","41980.798","41973.579","43195.152"
"IMF.RES:WEO(9.0.0)","KHM.NGDPDPC.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","313.224","345.368","368.731","406.869","465.695","550.210","639.874","763.623","903.246","912.750","992.085","1133.384","1241.402","1356.991","1485.892","1606.561","1735.785","1888.070","2097.235","2281.377","2136.009","2217.723","2320.719","2492.644","2682.954"
"IMF.RES:WEO(9.0.0)","KHM.TM_RPCH.A","OBS_VALUE","Cambodia","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","8.044","16.440","12.623","5.132","6.068","5.200","10.719","-10.192","-8.188","11.207","5.474","15.267","11.135","18.366","14.842","21.649","13.385","6.817","13.638","18.114","-3.390","23.553","-7.394","-11.909","15.918"
"IMF.RES:WEO(9.0.0)","KHM.GGXONLB_NGDP.A","OBS_VALUE","Cambodia","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.615","-4.813","-5.914","-5.524","-3.026","-0.151","-0.004","0.790","0.588","-3.811","-2.901","-3.543","-3.333","-1.755","-0.988","-0.421","-0.022","-0.521","0.529","2.434","-2.261","-4.910","-0.021","-2.556","-2.401"
"IMF.RES:WEO(9.0.0)","BRN.PCPIEPCH.A","OBS_VALUE","Brunei Darussalam","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","1.302","-3.110","-0.253","1.943","0.894","1.105","-0.319","1.938","1.882","0.529","0.185","0.164","0.038","0.157","1.229","-1.392","-0.627","-0.460","-0.006","0.273","2.000","2.186","3.291","0.674","-0.456"
"IMF.RES:WEO(9.0.0)","MMR.PPPSH.A","OBS_VALUE","Myanmar","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","0.081","0.089","0.096","0.104","0.115","0.124","0.134","0.143","0.150","0.158","0.158","0.160","0.165","0.173","0.181","0.185","0.191","0.196","0.220","0.228","0.211","0.148","0.148","0.145","0.138"
"IMF.RES:WEO(9.0.0)","BRN.NGDPPC.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","35295.191","33408.530","34088.888","36543.236","41849.226","49032.650","55404.897","55277.884","60271.677","45509.605","48319.028","59238.075","59699.774","56133.853","53149.149","43108.650","37741.155","39276.919","41916.309","40742.764","37493.069","42707.936","51645.947","45003.122","45355.121"
"IMF.RES:WEO(9.0.0)","BRN.PCPI.A","OBS_VALUE","Brunei Darussalam","All Items, Consumer price index (CPI), Period average","Annual","Units","94.959","95.525","93.314","93.594","94.356","95.530","95.683","96.609","98.623","99.644","100.000","100.138","100.250","100.640","100.432","99.941","99.663","98.406","99.415","99.027","100.948","102.698","106.480","106.860","106.445"
"IMF.RES:WEO(9.0.0)","MMR.NGDPD.A","OBS_VALUE","Myanmar","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","7.688","7.087","6.878","8.826","10.688","12.051","13.502","17.745","25.313","30.675","37.851","53.250","58.374","62.656","65.404","59.330","62.839","66.083","67.491","75.282","76.987","55.232","67.403","62.299","61.653"
"IMF.RES:WEO(9.0.0)","BTN.PPPPC.A","OBS_VALUE","Bhutan","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","3251.328","3454.453","3732.735","4046.938","4316.135","4618.452","4971.131","5591.762","6187.672","6531.171","7181.887","7975.407","8568.742","8908.531","9301.904","9869.184","10615.379","11340.616","11711.311","12374.626","12836.467","12724.453","14194.827","15362.494","16306.384"
"IMF.RES:WEO(9.0.0)","MMR.PCPIPCH.A","OBS_VALUE","Myanmar","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","4.254","-19.791","21.916","47.469","8.005","6.886","16.551","34.437","20.911","3.692","5.924","6.829","0.360","6.382","5.739","10.043","6.767","4.035","7.279","9.074","2.248","9.601","28.006","25.488","26.500"
"IMF.RES:WEO(9.0.0)","BTN.PCPIEPCH.A","OBS_VALUE","Bhutan","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","-7.322","-8.838","2.737","2.971","3.637","5.400","3.100","4.300","6.000","7.200","5.700","9.600","9.500","12.900","8.099","4.740","3.650","4.930","2.550","2.749","4.459","7.439","6.583","3.834","1.744"
"IMF.RES:WEO(9.0.0)","KHM.GGR.A","OBS_VALUE","Cambodia","Revenue, General government, Domestic currency","Annual","Billions","1440.556","1561.181","1761.754","1775.755","2208.825","3077.017","3814.764","5302.000","6666.830","6724.843","8049.007","8278.780","9723.679","11498.781","13538.419","13589.225","16102.389","18332.979","21956.885","29461.178","25334.068","23842.037","29663.580","28264.203","27525.232"
"IMF.RES:WEO(9.0.0)","KHM.NGSD_NGDP.A","OBS_VALUE","Cambodia","Gross national savings, Percent of GDP","Annual","Units","17.746","19.274","21.711","20.720","22.004","20.894","24.685","24.283","17.450","18.083","15.129","15.809","17.728","19.772","22.759","22.616","23.528","24.184","21.842","23.207","30.382","0.795","15.886","34.602","32.680"
"IMF.RES:WEO(9.0.0)","BRN.LP.A","OBS_VALUE","Brunei Darussalam","Population, Persons for countries / Index for country groups","Annual","Millions","0.325","0.333","0.340","0.346","0.352","0.359","0.365","0.370","0.375","0.380","0.387","0.393","0.399","0.403","0.408","0.412","0.417","0.426","0.437","0.451","0.442","0.441","0.445","0.451","0.456"
"IMF.RES:WEO(9.0.0)","MMR.NGDPRPC.A","OBS_VALUE","Myanmar","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","407439.204","452856.356","492860.812","553304.774","633648.676","715173.770","805450.440","900511.538","962382.207","997949.339","1043032.549","1092049.452","1153841.517","1234724.946","1324529.286","1390651.632","1473046.291","1551814.625","1637588.353","1733325.254","1566673.904","1370379.507","1417295.389","1423784.127","1400787.268"
"IMF.RES:WEO(9.0.0)","KHM.NGDP_R.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","29439.689","31615.197","33595.912","37050.808","40554.960","45950.122","50978.610","56279.599","60487.268","62951.990","66148.011","70967.991","76397.224","82400.136","88992.411","95406.125","102948.457","111261.585","121026.151","130631.936","125987.028","129879.829","136542.536","143380.672","152012.872"
"IMF.RES:WEO(9.0.0)","MMR.GGXWDG.A","OBS_VALUE","Myanmar","Gross debt, General government, Domestic currency","Annual","Billions","4439.620","9096.612","9952.585","11087.402","12099.497","14464.597","17096.967","17694.032","17293.080","18545.681","20063.562","21149.128","23428.679","25490.389","22504.639","26615.873","28450.153","37501.060","40016.985","42350.186","51557.278","60336.406","70464.670","82834.555","95459.469"
"IMF.RES:WEO(9.0.0)","MMR.TM_RPCH.A","OBS_VALUE","Myanmar","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-7.037","5.749","0.857","-8.501","-9.738","-7.793","20.004","55.195","33.723","10.646","-45.287","82.959","4.964","20.615","43.943","15.080","4.960","11.204","-4.570","6.559","-19.525","-18.273","3.946","-6.052","-6.111"
"IMF.RES:WEO(9.0.0)","MMR.GGXWDG_NGDP.A","OBS_VALUE","Myanmar","Gross debt, General government, Percent of GDP","Annual","Units","164.480","261.993","190.640","146.029","126.590","118.964","103.101","77.365","59.813","56.420","54.390","49.937","47.980","44.846","34.483","36.603","35.701","41.878","39.916","37.625","49.125","63.423","56.070","59.061","59.340"
"IMF.RES:WEO(9.0.0)","MMR.PCPIE.A","OBS_VALUE","Myanmar","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","19.065","15.076","24.142","29.963","30.882","33.964","42.388","56.896","65.067","64.988","69.212","71.300","74.235","79.382","82.238","89.186","95.426","100.597","108.566","115.745","118.805","139.357","179.150","224.530","287.398"
"IMF.RES:WEO(9.0.0)","KHM.NGDPPC.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","1203016.499","1352575.510","1442506.770","1616624.956","1871847.397","2254234.802","2628184.068","3100592.607","3665638.593","3782162.645","4155591.690","4604254.308","5005869.191","5465245.219","5999671.414","6523421.262","7035948.268","7637811.544","8487205.866","9265986.191","8722124.480","9088227.681","9557011.043","10229810.344","10986361.675"
"IMF.RES:WEO(9.0.0)","BTN.PPPSH.A","OBS_VALUE","Bhutan","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.006","0.006","0.007","0.007","0.007","0.007","0.007","0.006","0.006","0.006","0.007"
"IMF.RES:WEO(9.0.0)","KHM.GGXONLB.A","OBS_VALUE","Cambodia","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-657.090","-782.923","-1042.663","-1109.288","-714.931","-43.722","-1.473","324.428","290.351","-1972.264","-1676.366","-2305.308","-2396.089","-1400.231","-879.486","-413.631","-23.377","-619.285","710.972","3626.363","-3221.917","-7403.593","-33.618","-4448.792","-4532.578"
"IMF.RES:WEO(9.0.0)","MMR.GGR_NGDP.A","OBS_VALUE","Myanmar","Revenue, General government, Percent of GDP","Annual","Units","15.411","12.739","11.308","10.103","9.937","11.158","12.180","12.201","11.671","10.895","10.380","10.785","17.254","22.359","23.675","19.406","18.735","16.273","15.949","15.845","14.805","18.429","18.512","16.230","15.606"
"IMF.RES:WEO(9.0.0)","KHM.PPPGDP.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","15.619","17.151","18.509","20.815","23.397","27.340","31.268","35.454","38.839","40.671","43.255","47.364","51.937","56.972","62.601","67.736","73.785","81.172","91.414","101.426","99.390","105.674","118.997","129.579","140.791"
"IMF.RES:WEO(9.0.0)","BRN.PPPEX.A","OBS_VALUE","Brunei Darussalam","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","0.617","0.576","0.569","0.588","0.667","0.771","0.825","0.845","0.954","0.740","0.768","0.905","0.899","0.859","0.829","0.677","0.609","0.628","0.642","0.599","0.531","0.532","0.618","0.519","0.496"
"IMF.RES:WEO(9.0.0)","KHM.PCPIEPCH.A","OBS_VALUE","Cambodia","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","0.341","-0.527","1.427","-0.042","5.265","8.411","4.201","13.952","12.520","5.325","3.143","4.908","2.541","5.205","0.966","2.757","3.786","2.167","1.595","2.908","2.876","4.167","2.405","2.718","3.050"
"IMF.RES:WEO(9.0.0)","BRN.GGXONLB.A","OBS_VALUE","Brunei Darussalam","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","0.786","0.287","-0.535","1.020","1.263","2.814","3.995","0.638","8.168","0.624","1.423","5.973","3.757","2.949","0.775","-2.582","-3.414","-1.741","-0.656","-0.678","-2.613","-1.537","0.582","-2.202","-2.107"
"IMF.RES:WEO(9.0.0)","KHM.GGX_NGDP.A","OBS_VALUE","Cambodia","Expenditure, General government, Percent of GDP","Annual","Units","14.881","14.543","16.065","14.537","12.579","10.982","11.284","12.286","13.080","16.972","17.018","16.480","17.092","16.427","16.458","14.467","15.231","16.181","16.074","17.587","20.306","20.988","18.721","19.070","17.256"
"IMF.RES:WEO(9.0.0)","KHM.GGXWDG_NGDP.A","OBS_VALUE","Cambodia","Gross debt, General government, Percent of GDP","Annual","Units","34.852","33.509","37.830","39.782","38.744","31.670","26.729","25.068","22.954","23.682","23.402","23.795","24.861","24.397","24.174","23.264","21.790","22.641","21.089","20.835","25.227","25.942","25.524","26.278","25.897"
"IMF.RES:WEO(9.0.0)","BRN.TMG_RPCH.A","OBS_VALUE","Brunei Darussalam","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-18.700","0.158","35.915","-15.591","6.930","6.021","10.209","25.611","44.388","-19.720","13.734","46.069","9.493","18.854","-24.599","-11.576","-16.885","16.646","32.931","14.498","7.446","44.703","6.874","-12.669","-0.607"
"IMF.RES:WEO(9.0.0)","BTN.TMG_RPCH.A","OBS_VALUE","Bhutan","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","9.260","5.105","5.822","-7.415","13.961","58.278","-14.853","4.163","16.589","-7.355","24.437","23.581","-14.918","-12.608","-13.734","4.952","-4.029","-4.421","-1.440","2.171","-2.286","-14.027","44.345","2.183","-12.954"
"IMF.RES:WEO(9.0.0)","KHM.BCA.A","OBS_VALUE","Cambodia","Current account balance (credit less debit), US dollar","Annual","Billions","-0.096","-0.039","-0.097","-0.166","-0.116","-0.240","-0.047","-0.143","-0.685","-1.030","-0.992","-1.051","-1.238","-1.402","-1.599","-1.757","-1.823","-1.896","-2.952","-3.003","-0.338","-10.886","-7.572","0.554","0.228"
"IMF.RES:WEO(9.0.0)","KHM.GGXCNL.A","OBS_VALUE","Cambodia","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-678.142","-804.550","-1070.773","-1143.345","-763.529","-98.955","-51.452","254.668","211.141","-2058.575","-1785.662","-2444.541","-2564.693","-1604.508","-1107.766","-636.470","-314.772","-907.608","372.954","3259.804","-3602.788","-7806.854","-472.583","-4921.936","-5048.117"
"IMF.RES:WEO(9.0.0)","MMR.BCA.A","OBS_VALUE","Myanmar","Current account balance (credit less debit), US dollar","Annual","Billions","-0.635","-0.486","-0.109","0.105","0.243","0.632","0.989","0.488","-0.802","-0.945","1.804","-1.014","-1.071","-0.750","-2.229","-3.212","-2.755","-3.650","-0.874","-1.848","-0.296","-1.210","-1.955","-1.187","-0.666"
"IMF.RES:WEO(9.0.0)","BRN.GGXWDG.A","OBS_VALUE","Brunei Darussalam","Gross debt, General government, Domestic currency","Annual","Billions","0.000","0.000","0.000","0.000","0.000","0.000","0.120","0.140","0.213","0.192","0.208","0.496","0.500","0.500","0.700","0.525","0.473","0.473","0.473","0.473","0.473","0.473","0.473","0.473","0.473"
"IMF.RES:WEO(9.0.0)","BRN.NGDPD.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","6.650","6.206","6.475","7.266","8.723","10.561","12.710","13.571","15.949","11.892","13.707","18.525","19.048","18.094","17.098","12.930","11.400","12.128","13.567","13.469","12.006","14.006","16.682","15.095","15.463"
"IMF.RES:WEO(9.0.0)","BTN.TXG_RPCH.A","OBS_VALUE","Bhutan","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","4.727","-15.948","-0.922","4.777","35.098","28.235","39.352","76.208","13.585","-22.670","3.270","12.347","-15.400","-12.398","-11.784","-4.006","-15.788","0.920","6.281","7.749","6.733","-0.590","6.546","-14.671","-8.509"
"IMF.RES:WEO(9.0.0)","TLS.LP.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","0.714","0.776","0.848","0.910","0.924","0.934","0.962","0.991","1.019","1.046","1.072","1.098","1.123","1.147","1.170","1.193","1.217","1.240","1.264","1.288","1.314","1.339","1.362","1.377","1.392"
"IMF.RES:WEO(9.0.0)","TLS.NID_NGDP.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Gross capital formation, Percent of GDP","Annual","Units","33.477","30.163","27.870","22.273","17.071","15.778","12.124","18.652","31.312","48.848","42.699","70.318","60.008","41.766","43.131","36.934","39.834","35.618","35.906","26.764","16.453","14.393","10.595","20.472","17.298"
"IMF.RES:WEO(9.0.0)","TLS.GGX.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Expenditure, General government, Domestic currency","Annual","Billions","","0.457","0.439","0.393","0.327","0.270","0.272","0.412","0.793","0.886","1.070","1.389","1.501","1.342","1.606","1.559","1.840","1.383","1.331","1.398","1.335","1.656","1.922","1.635","1.829"
"IMF.RES:WEO(9.0.0)","KOR.GGX_NGDP.A","OBS_VALUE","Korea, Republic of","Expenditure, General government, Percent of GDP","Annual","Units","16.021","16.941","15.886","17.869","18.500","18.154","18.715","18.809","19.102","19.539","17.861","18.285","18.823","19.016","18.846","18.800","18.507","18.637","19.278","21.268","23.660","24.097","26.680","23.083","22.533"
"IMF.RES:WEO(9.0.0)","IDN.PCPIE.A","OBS_VALUE","Indonesia","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","28.513","32.100","35.290","37.120","39.490","46.260","49.310","52.160","57.930","59.540","63.680","66.090","68.500","74.040","80.230","82.920","85.430","88.510","91.310","93.670","95.240","97.030","102.280","105.150","106.800"
"IMF.RES:WEO(9.0.0)","IND.GGX_NGDP.A","OBS_VALUE","India","Expenditure, General government, Percent of GDP","Annual","Units","26.086","28.276","29.115","29.942","28.450","26.876","26.910","26.945","29.293","28.543","27.985","27.641","27.364","26.600","26.220","27.059","27.233","26.232","26.291","26.846","31.019","29.886","29.102","27.891","28.384"
"IMF.RES:WEO(9.0.0)","IND.GGXONLB.A","OBS_VALUE","India","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-887.061","-1492.654","-1552.605","-1814.640","-1342.635","-902.976","-632.350","129.518","-2432.034","-3215.988","-3433.011","-3497.338","-3172.766","-2740.051","-3209.248","-3696.030","-3876.724","-2557.461","-3157.350","-6033.710","-14406.532","-10058.017","-10439.153","-7650.672","-9628.811"
"IMF.RES:WEO(9.0.0)","IDN.GGR_NGDP.A","OBS_VALUE","Indonesia","Revenue, General government, Percent of GDP","Annual","Units","13.433","17.745","16.353","17.099","17.573","17.860","18.868","17.782","19.448","15.382","15.644","17.010","17.249","16.864","16.560","14.878","14.360","14.180","14.921","14.268","12.352","13.719","14.950","14.995","14.546"
"IMF.RES:WEO(9.0.0)","KOR.LE.A","OBS_VALUE","Korea, Republic of","Employed persons, Persons for countries / Index for country groups","Annual","Millions","21.173","21.614","22.232","22.222","22.682","22.831","23.188","23.561","23.775","23.688","24.033","24.526","24.955","25.299","25.897","26.178","26.409","26.725","26.822","27.123","26.904","27.273","28.089","28.416","28.576"
"IMF.RES:WEO(9.0.0)","TLS.BCA.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Current account balance (credit less debit), US dollar","Annual","Billions","-0.015","-0.032","-0.042","-0.044","0.066","0.262","0.544","1.167","2.042","1.195","1.589","2.219","2.648","2.392","1.094","0.204","-0.544","-0.284","-0.191","0.445","0.515","1.697","0.408","-0.177","-0.565"
"IMF.RES:WEO(9.0.0)","IND.NGDPRPC.A","OBS_VALUE","India","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","40898.450","42076.872","42893.389","45469.523","48243.142","51223.099","54493.094","57790.783","58723.555","62431.052","66758.046","69268.610","72051.331","75637.805","80224.438","85612.050","91582.590","96675.677","101791.858","104638.753","97637.938","106221.246","113404.285","122738.079","129550.598"
"IMF.RES:WEO(9.0.0)","IDN.NGDP_RPCH.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.979","3.643","4.499","4.780","5.031","5.693","5.501","6.345","7.442","4.702","6.378","6.170","6.030","5.557","5.007","4.876","5.033","5.070","5.174","5.019","-2.066","3.703","5.307","5.049","5.030"
"IMF.RES:WEO(9.0.0)","IND.PPPPC.A","OBS_VALUE","India","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","1890.423","1988.684","2058.779","2225.513","2424.760","2655.270","2911.890","3171.771","3285.052","3513.992","3803.210","4027.657","4267.465","4556.133","4916.581","5295.455","5718.586","6144.716","6714.967","7150.923","6966.277","8050.019","9205.657","10331.980","11176.184"
"IMF.RES:WEO(9.0.0)","KOR.GGX.A","OBS_VALUE","Korea, Republic of","Expenditure, General government, Domestic currency","Annual","Billions","108258.653","124132.679","129187.041","155120.506","174436.552","180663.200","195700.800","213396.122","229789.559","245273.347","246379.731","264870.529","283219.000","298734.000","308797.000","327262.000","339236.000","360492.000","386907.000","433993.000","487032.000","535413.000","619990.000","556007.000","576147.000"
"IMF.RES:WEO(9.0.0)","KOR.GGXWDN_NGDP.A","OBS_VALUE","Korea, Republic of","Net debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","-4.525","-2.703","-2.626","-1.109","-0.715","-0.682","-2.491","-1.531","2.164","2.651","6.179","7.396","7.811"
"IMF.RES:WEO(9.0.0)","IND.NGDP_D.A","OBS_VALUE","India","Gross domestic product (GDP), Price deflator, Index","Annual","Units","49.457","51.048","52.944","54.992","58.141","61.409","66.568","71.191","77.736","83.209","91.968","100.000","107.934","114.612","118.430","121.130","125.052","130.016","135.066","138.315","144.975","157.087","166.351","170.663","175.923"
"IMF.RES:WEO(9.0.0)","KOR.GGXWDG_NGDP.A","OBS_VALUE","Korea, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","16.087","16.625","16.444","19.102","21.603","24.917","27.043","26.346","25.856","28.791","28.275","31.700","33.536","36.007","37.875","38.843","39.144","38.011","37.854","39.730","45.915","47.988","49.798","50.539","49.815"
"IMF.RES:WEO(9.0.0)","IDN.PPPGDP.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","850.667","901.512","956.715","1022.241","1102.538","1201.842","1307.057","1427.649","1563.440","1647.046","1773.382","1921.643","2075.456","2228.082","2380.385","2519.629","2671.590","2857.305","3069.919","3266.186","3223.405","3530.623","3982.440","4338.306","4669.655"
"IMF.RES:WEO(9.0.0)","IDN.NGSD_NGDP.A","OBS_VALUE","Indonesia","Gross national savings, Percent of GDP","Annual","Units","24.905","24.677","23.355","26.710","23.999","23.574","25.762","24.358","33.020","33.010","33.582","33.173","32.411","30.641","31.512","32.028","32.039","32.116","31.632","31.075","31.925","31.745","30.747","30.194","30.775"
"IMF.RES:WEO(9.0.0)","IND.PPPGDP.A","OBS_VALUE","India","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1999.921","2143.599","2259.717","2485.460","2754.507","3065.977","3415.295","3776.551","3968.116","4306.485","4729.221","5079.782","5456.699","5903.971","6451.917","7032.495","7685.460","8354.709","9230.790","9932.849","9771.023","11384.368","13121.957","14858.106","16215.925"
"IMF.RES:WEO(9.0.0)","IDN.GGXCNL_NGDP.A","OBS_VALUE","Indonesia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.870","-1.763","-0.576","-1.077","-0.260","0.462","0.451","-0.953","0.054","-1.644","-1.242","-0.704","-1.586","-1.956","-1.805","-2.724","-2.561","-2.264","-1.690","-2.091","-6.075","-4.405","-2.307","-1.642","-2.299"
"IMF.RES:WEO(9.0.0)","IND.TXG_RPCH.A","OBS_VALUE","India","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","16.038","2.280","17.205","12.382","15.147","11.520","10.262","17.872","1.833","-1.789","26.322","13.433","-0.246","6.760","5.543","-6.160","7.793","5.356","5.204","-4.335","-7.247","21.356","0.331","-0.503","-0.232"
"IMF.RES:WEO(9.0.0)","IDN.GGX.A","OBS_VALUE","Indonesia","Expenditure, General government, Domestic currency","Annual","Billions","231311.551","349321.834","335443.093","398078.948","445297.685","524960.003","668859.592","805059.300","1050154.508","1023535.964","1159115.057","1387288.621","1622837.246","1796580.980","1941100.600","2028883.753","2098433.660","2234659.670","2464880.875","2590031.364","2845700.423","3076816.119","3380478.890","3475876.670","3729239.359"
"IMF.RES:WEO(9.0.0)","IDN.GGXCNL.A","OBS_VALUE","Indonesia","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-28266.072","-31575.240","-11414.889","-23593.646","-6497.074","13933.799","16377.522","-40937.849","2930.133","-98849.569","-85282.757","-55099.202","-136684.603","-186681.099","-190734.510","-313968.263","-317603.700","-307670.350","-250783.795","-331001.354","-938161.983","-747800.789","-451918.340","-343010.020","-508875.872"
"IMF.RES:WEO(9.0.0)","IND.PPPSH.A","OBS_VALUE","India","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","3.983","4.076","4.117","4.284","4.397","4.536","4.661","4.770","4.783","5.192","5.358","5.431","5.549","5.715","5.932","6.201","6.510","6.700","6.958","7.066","6.966","7.249","7.527","7.946","8.193"
"IMF.RES:WEO(9.0.0)","TWN.GGR_NGDP.A","OBS_VALUE","Taiwan Province of China","Revenue, General government, Percent of GDP","Annual","Units","26.963","18.745","16.818","17.840","16.621","18.427","17.316","16.797","17.016","16.360","15.046","16.170","15.814","16.094","15.431","15.610","15.328","15.286","15.465","15.452","15.163","15.253","16.173","16.480","16.352"
